image,adult_males,subadult_males,adult_females,juveniles,pups,unknown
0.jpg,"[(2353, 3726), (3638, 3539), (4720, 3476), (4106, 3450), (3506, 3435), (2911, 3434), (867, 3342), (2274, 3258), (3822, 3210), (1917, 3210), (2556, 3099), (4260, 3081), (2841, 3041), (688, 3039), (4449, 2997), (1937, 2995), (4085, 2907), (3395, 2801), (2174, 2610), (1409, 2585), (3787, 2516), (4791, 2447), (4036, 2447), (1546, 2416), (2257, 2389), (2773, 2327), (3276, 2321), (1952, 2197), (2291, 2133), (2540, 2015), (1221, 1952), (3910, 1925), (2972, 1891), (2127, 1872), (1670, 1865), (3750, 1861), (4927, 1803), (1328, 1793), (4651, 1717), (2327, 1680), (3710, 1672), (2465, 1666), (1865, 1596), (1361, 1570), (2526, 1515), (1847, 1421), (3414, 1393), (1987, 1380), (2554, 1227), (2290, 1117), (1367, 1060), (3565, 989), (4366, 973), (2146, 855), (1873, 805), (2727, 603), (4105, 473), (3308, 449), (1823, 431), (2891, 412), (2609, 309), (4835, 106)]","[(1437, 3178), (4017, 3094), (5135, 2649), (630, 2627), (3531, 1968), (5324, 1947), (4978, 1504), (1040, 1479), (2754, 1331), (4973, 1249), (2864, 1116), (2836, 762)]","[(1953, 3730), (2882, 3728), (3443, 3725), (2673, 3693), (3346, 3642), (2620, 3636), (2510, 3635), (3395, 3626), (3310, 3596), (3493, 3584), (2125, 3568), (2014, 3552), (3303, 3543), (1465, 3524), (3935, 3491), (1578, 3474), (1008, 3459), (1834, 3458), (1721, 3451), (1062, 3449), (3556, 3445), (3393, 3426), (2045, 3412), (3457, 3405), (3020, 3381), (1915, 3378), (2939, 3377), (2620, 3376), (3274, 3368), (3933, 3347), (3417, 3347), (1481, 3339), (3689, 3332), (3481, 3326), (2147, 3325), (3093, 3295), (4558, 3291), (3327, 3273), (2093, 3272), (4565, 3266), (1758, 3262), (924, 3248), (2204, 3238), (2308, 3237), (1877, 3233), (4345, 3212), (1119, 3211), (1040, 3205), (3592, 3200), (2939, 3200), (2285, 3196), (4256, 3184), (899, 3173), (4221, 3171), (2771, 3169), (2404, 3169), (2155, 3152), (1758, 3146), (4214, 3139), (1605, 3129), (2940, 3126), (3399, 3109), (3624, 3104), (2888, 3096), (1077, 3084), (1797, 3078), (2653, 3075), (2051, 3072), (2958, 3067), (2685, 3055), (1687, 3051), (2499, 3045), (3322, 3034), (2397, 3027), (1605, 3026), (3723, 3005), (2301, 2995), (1486, 2992), (2663, 2989), (2476, 2932), (1592, 2928), (1337, 2928), (3233, 2925), (572, 2925), (3489, 2922), (2855, 2918), (1677, 2913), (945, 2903), (1388, 2901), (880, 2892), (2169, 2886), (3918, 2878), (2142, 2878), (502, 2863), (2897, 2852), (4034, 2847), (4009, 2844), (2330, 2842), (1904, 2835), (3789, 2831), (3864, 2828), (1376, 2818), (2797, 2803), (3886, 2800), (2170, 2797), (2070, 2795), (3658, 2788), (3250, 2787), (3004, 2787), (3768, 2785), (2944, 2782), (3077, 2766), (568, 2764), (499, 2763), (638, 2757), (715, 2755), (2214, 2748), (2797, 2747), (1705, 2727), (3870, 2723), (2436, 2712), (2121, 2707), (2601, 2700), (2231, 2693), (3821, 2690), (1833, 2684), (1982, 2679), (2532, 2662), (2786, 2659), (2158, 2658), (2498, 2657), (2398, 2651), (3376, 2645), (2851, 2631), (2319, 2624), (1274, 2624), (2985, 2611), (2051, 2598), (1704, 2596), (2717, 2588), (2581, 2581), (2783, 2573), (1858, 2572), (2458, 2564), (1761, 2555), (1619, 2550), (1193, 2532), (2325, 2530), (2229, 2527), (3075, 2517), (2700, 2500), (1441, 2486), (2292, 2484), (1649, 2479), (2165, 2472), (1332, 2458), (1775, 2454), (3049, 2444), (3344, 2434), (1227, 2432), (2843, 2431), (3119, 2430), (2509, 2428), (1701, 2419), (3218, 2400), (2340, 2399), (1381, 2388), (2180, 2385), (1948, 2380), (1827, 2377), (2675, 2371), (2893, 2368), (1647, 2367), (3088, 2362), (1882, 2362), (1736, 2360), (2427, 2357), (1509, 2345), (3172, 2328), (2091, 2312), (1445, 2304), (2038, 2287), (2709, 2286), (1803, 2275), (1642, 2273), (2902, 2268), (1735, 2265), (2371, 2260), (1442, 2244), (3284, 2237), (2468, 2228), (1833, 2224), (2383, 2221), (1241, 2220), (2435, 2192), (2365, 2153), (1510, 2146), (1844, 2145), (1653, 2134), (2801, 2121), (1299, 2113), (2385, 2105), (2346, 2105), (1603, 2082), (2265, 2079), (2060, 2077), (3310, 2065), (3425, 2064), (3709, 2054), (3552, 2051), (1670, 2051), (2404, 2049), (1811, 2039), (1935, 2033), (3263, 2030), (2036, 2028), (1746, 2028), (2340, 2013), (3483, 2009), (2683, 2007), (2599, 1997), (2103, 1996), (2663, 1976), (3290, 1962), (2758, 1962), (2054, 1956), (1876, 1953), (3413, 1948), (2496, 1945), (2664, 1937), (1926, 1936), (2243, 1927), (2532, 1923), (3163, 1898), (3363, 1883), (3595, 1881), (2043, 1881), (3242, 1876), (2781, 1876), (2565, 1873), (1970, 1858), (1244, 1837), (2673, 1834), (3462, 1825), (2488, 1822), (1891, 1817), (4040, 1804), (2005, 1800), (2957, 1798), (2858, 1798), (2144, 1793), (2737, 1792), (3319, 1760), (3356, 1746), (3460, 1732), (3292, 1727), (1531, 1717), (2124, 1700), (3199, 1692), (3020, 1675), (3659, 1662), (2877, 1658), (2736, 1658), (3438, 1645), (3637, 1601), (3244, 1590), (3117, 1564), (2960, 1561), (2818, 1537), (3703, 1509), (2781, 1507), (3335, 1505), (3799, 1502), (3101, 1491), (2904, 1491), (2681, 1489), (3144, 1474), (3581, 1453), (2857, 1447), (3679, 1443), (3230, 1440), (3307, 1433), (2230, 1433), (2803, 1431), (3821, 1426), (2944, 1421), (3064, 1412), (2280, 1411), (3512, 1357), (3331, 1356), (2117, 1355), (2174, 1345), (3673, 1339), (3223, 1333), (1918, 1331), (2218, 1325), (2900, 1302), (3400, 1298), (2454, 1287), (2685, 1276), (2810, 1275), (1968, 1267), (1903, 1265), (2124, 1255), (3093, 1253), (2066, 1250), (3213, 1223), (2906, 1222), (2724, 1221), (3567, 1218), (3131, 1218), (2395, 1198), (2587, 1191), (2001, 1191), (3519, 1182), (2533, 1181), (2217, 1170), (3142, 1165), (2165, 1161), (2807, 1160), (2093, 1158), (3059, 1152), (2585, 1150), (3452, 1133), (3345, 1126), (2943, 1122), (2737, 1111), (3277, 1096), (2332, 1095), (3772, 1091), (1956, 1086), (2709, 1076), (4039, 1064), (2022, 1062), (2569, 1058), (3378, 1052), (2717, 1047), (2952, 1046), (2808, 1033), (2331, 1028), (3461, 1026), (2285, 1024), (3215, 1018), (3083, 1015), (1992, 1008), (4145, 999), (2075, 999), (2232, 992), (3245, 982), (2596, 982), (3650, 964), (2134, 964), (2852, 963), (3009, 944), (3336, 943), (2595, 936), (3396, 930), (3218, 918), (2334, 897), (3448, 890), (3634, 888), (3085, 874), (4121, 873), (2747, 873), (3546, 871), (4365, 863), (2082, 863), (2344, 857), (3960, 845), (2879, 826), (2465, 826), (3466, 824), (4171, 822), (2585, 819), (3302, 807), (3002, 792), (2113, 791), (3107, 779), (2915, 774), (2256, 773), (2189, 762), (2272, 748), (2352, 742), (4214, 741), (2931, 728), (2018, 725), (3971, 720), (4397, 714), (2163, 707), (2365, 693), (4297, 675), (4055, 656), (3806, 653), (3385, 651), (2226, 649), (2047, 641), (1916, 641), (3932, 636), (2895, 636), (3616, 575), (1923, 561), (4666, 558), (3243, 558), (1834, 553), (3852, 552), (4009, 550), (3744, 546), (2181, 531), (1951, 531), (3466, 529), (2772, 525), (3990, 521), (3941, 518), (4598, 504), (3666, 499), (3208, 488), (1876, 488), (4065, 486), (4656, 466), (3450, 456), (3376, 456), (4082, 455), (2683, 454), (3985, 450), (4463, 445), (3867, 436), (3622, 429), (4279, 427), (1924, 427), (3530, 419), (3143, 411), (4332, 406), (4075, 404), (2970, 400), (2390, 389), (4557, 379), (4246, 377), (3994, 358), (3733, 358), (1814, 346), (2708, 342), (3888, 340), (3438, 339), (3280, 320), (3577, 318), (2149, 318), (4197, 311), (4344, 297), (3617, 284), (2905, 280), (2429, 277), (2849, 275), (3096, 271), (2339, 269), (3733, 267), (2962, 258), (3407, 255), (2063, 244), (3252, 238), (2559, 227), (3513, 225), (3828, 224), (3919, 220), (2331, 215), (2814, 211), (2912, 207), (2747, 205), (2089, 203), (3749, 193), (3384, 193), (2482, 187), (3028, 183), (4803, 182), (4524, 168), (2141, 167), (3859, 163), (2643, 158), (4575, 148), (3700, 140), (3925, 111), (2724, 109), (4750, 103), (2946, 102), (4470, 94), (3833, 74), (4240, 41)]","[(3295, 3515), (1009, 3489), (3941, 3470), (1013, 3414), (952, 3414), (967, 3327), (910, 3284), (913, 3034), (971, 2913), (526, 2813), (1101, 2793), (2831, 2753), (1524, 2489), (3070, 2440), (2845, 2321), (1846, 2286), (1569, 2277), (547, 1906), (3559, 1777), (847, 1761), (3441, 1757), (953, 1726), (2071, 1723), (919, 1691), (1058, 1546), (2208, 1498), (3320, 881), (4445, 575), (4432, 563), (4449, 553), (4482, 533), (4339, 528), (4384, 525), (4633, 506), (4305, 492), (4352, 490), (4462, 472), (3464, 418), (3281, 365), (2092, 343), (4947, 171), (4722, 59)]","[(3143, 3732), (3486, 3726), (2694, 3711), (1981, 3691), (2537, 3658), (2598, 3648), (2658, 3625), (3357, 3621), (3478, 3615), (1941, 3601), (3342, 3582), (2143, 3582), (1471, 3535), (1588, 3504), (1117, 3388), (1930, 3376), (2645, 3374), (3924, 3369), (3684, 3352), (3306, 3307), (1057, 3238), (2712, 3236), (2195, 3217), (1089, 3203), (3569, 3188), (2089, 3164), (2906, 3140), (2893, 3111), (2638, 3094), (1122, 3089), (1645, 3078), (2931, 3053), (2714, 3049), (1798, 3049), (2473, 3048), (1716, 3040), (3304, 3026), (1584, 3026), (2593, 3016), (3707, 3006), (2133, 2973), (1522, 2968), (1338, 2963), (3496, 2955), (3400, 2944), (3220, 2943), (3152, 2943), (1383, 2943), (1948, 2942), (1657, 2924), (555, 2920), (2476, 2911), (2293, 2892), (1579, 2891), (2882, 2886), (2805, 2884), (2109, 2856), (2843, 2849), (2352, 2839), (2118, 2838), (2045, 2834), (1348, 2811), (1880, 2798), (3734, 2796), (2235, 2792), (3629, 2789), (2922, 2780), (553, 2772), (1721, 2768), (488, 2765), (3249, 2760), (626, 2745), (704, 2740), (2424, 2733), (665, 2731), (3074, 2728), (1953, 2728), (2586, 2725), (2146, 2712), (2755, 2662), (2245, 2660), (1809, 2654), (2068, 2652), (2427, 2650), (2177, 2648), (3006, 2644), (2735, 2616), (2292, 2612), (1297, 2608), (1646, 2603), (2437, 2594), (1925, 2588), (1603, 2582), (1734, 2558), (1234, 2555), (2219, 2551), (2357, 2529), (1480, 2529), (2161, 2507), (3172, 2506), (2680, 2486), (1761, 2478), (1320, 2475), (2274, 2467), (2487, 2451), (1633, 2442), (3322, 2437), (1733, 2428), (1640, 2409), (2912, 2401), (1815, 2390), (1899, 2377), (2401, 2369), (2675, 2347), (1725, 2344), (1186, 2338), (3089, 2335), (1517, 2328), (1985, 2315), (2199, 2311), (2068, 2310), (1668, 2301), (1432, 2289), (1748, 2288), (2730, 2282), (2335, 2271), (2657, 2267), (2873, 2264), (2803, 2258), (1807, 2255), (1301, 2248), (2169, 2231), (1859, 2204), (1430, 2203), (2201, 2198), (1689, 2193), (1513, 2189), (2454, 2177), (1260, 2146), (1820, 2124), (3310, 2114), (2401, 2097), (2510, 2088), (1812, 2084), (2249, 2083), (2044, 2075), (1627, 2073), (2337, 2069), (3507, 2045), (3250, 2045), (3572, 2044), (1915, 2041), (1696, 2032), (3340, 2030), (1765, 2014), (2717, 2011), (2039, 2009), (1858, 1999), (2384, 1994), (2310, 1986), (2081, 1985), (2631, 1980), (2488, 1978), (2248, 1956), (2542, 1950), (1909, 1945), (3307, 1937), (2022, 1916), (2765, 1901), (3147, 1893), (3216, 1876), (3556, 1865), (2050, 1862), (1878, 1859), (1971, 1836), (2876, 1818), (2154, 1812), (2924, 1808), (2685, 1805), (3438, 1801), (3345, 1777), (2743, 1768), (3517, 1739), (3183, 1708), (1506, 1707), (2860, 1658), (2770, 1658), (2980, 1621), (3432, 1610), (3023, 1604), (3654, 1583), (2947, 1539), (3684, 1515), (3241, 1510), (3082, 1510), (3776, 1508), (3308, 1499), (2699, 1478), (3233, 1464), (3555, 1461), (3296, 1456), (3660, 1434), (2760, 1414), (2241, 1409), (3345, 1406), (3812, 1405), (3172, 1396), (3074, 1389), (3496, 1383), (2301, 1379), (2969, 1373), (3302, 1362), (2848, 1358), (2139, 1342), (3239, 1339), (2641, 1328), (2239, 1316), (3017, 1308), (3720, 1302), (1967, 1300), (3355, 1292), (3246, 1278), (2121, 1278), (3057, 1264), (2908, 1264), (3671, 1243), (2681, 1243), (2848, 1241), (2216, 1224), (2013, 1224), (3542, 1218), (2121, 1215), (3097, 1214), (2650, 1197), (2740, 1193), (2789, 1187), (3501, 1170), (1938, 1164), (2527, 1157), (3583, 1146), (2148, 1136), (2087, 1134), (2554, 1123), (2376, 1118), (3433, 1116), (2944, 1100), (3181, 1093), (1935, 1093), (2689, 1088), (2575, 1086), (3097, 1078), (2087, 1073), (3357, 1070), (2262, 1039), (3435, 1035), (3782, 1025), (2874, 1021), (2923, 1016), (3193, 1015), (2772, 1009), (3143, 992), (2010, 989), (3668, 987), (2195, 987), (2909, 981), (3317, 966), (2617, 961), (2953, 955), (3083, 924), (2606, 920), (2308, 905), (3148, 898), (2771, 896), (3412, 895), (2937, 883), (4327, 865), (3639, 863), (4092, 852), (3164, 848), (3552, 845), (2486, 840), (3215, 835), (2953, 835), (3116, 819), (2235, 792), (2092, 782), (4361, 747), (2163, 745), (3986, 706), (1997, 706), (4077, 698), (3923, 665), (3876, 663), (4268, 649), (2837, 646), (2207, 638), (3796, 625), (2884, 608), (3984, 587), (3438, 565), (3905, 531), (2741, 525), (3647, 509), (2193, 503), (4007, 480), (3858, 462), (1885, 460), (4623, 450), (2434, 448), (3511, 432), (2664, 428), (3121, 422), (2535, 420), (2946, 392), (3609, 388), (3984, 385), (3451, 354), (3750, 341), (4544, 333), (2926, 313), (3104, 304), (3401, 281), (3590, 277), (3756, 276), (2812, 271), (2451, 254), (2043, 237), (3793, 220), (3402, 219), (2544, 211), (2720, 210), (2136, 209), (3075, 205), (3764, 193), (2433, 170), (2076, 156), (2620, 153), (4421, 140), (3018, 135), (4606, 134), (4441, 89), (3891, 87), (2756, 80), (4238, 31)]",[]
1.jpg,"[(3012, 2880), (2233, 871)]","[(4655, 3056), (4574, 2992), (4609, 2959), (3998, 2816), (4351, 2809), (3521, 2514), (3437, 2455), (4501, 2421), (3060, 1957), (2112, 1816), (4022, 1707), (2857, 1483), (2762, 1475), (3201, 1445), (2367, 1068), (2276, 1036), (2244, 956), (3046, 933), (2961, 908), (2579, 834)]",[],"[(3619, 3609), (4781, 3414), (4437, 2933), (4396, 2748), (3031, 2703), (3525, 2660), (3612, 2556), (3279, 2118), (4806, 1668), (3487, 1462), (2576, 1372), (3231, 1086)]",[],[]
2.jpg,"[(2272, 1816), (2084, 1773)]",[],"[(2306, 1882), (2226, 1877), (2272, 1858), (2327, 1849), (2223, 1847), (2287, 1843), (2172, 1842), (2312, 1836), (2253, 1833), (2060, 1831), (2035, 1831), (2161, 1825), (2116, 1823), (2130, 1819), (2231, 1818), (2000, 1818), (2054, 1816), (2164, 1801), (2053, 1801), (2181, 1790), (2035, 1781), (2235, 1778), (2288, 1777), (2161, 1776), (2062, 1769), (2093, 1751), (2123, 1742), (2106, 1733), (2163, 1732), (2267, 1725), (2156, 1714), (2215, 1711), (2241, 1702), (2216, 1688), (2165, 1683), (2587, 909), (2581, 834)]","[(2342, 1887), (2332, 1880), (2037, 1860), (2212, 1858), (2244, 1851), (2015, 1833), (2098, 1825), (2085, 1822), (1978, 1807), (2266, 1783), (2111, 1756), (2129, 1725), (2056, 1720), (2071, 1719), (2116, 1700), (2602, 931), (2556, 886), (2541, 876), (2611, 861)]",[],[]
4.jpg,"[(2458, 3367), (60, 2535), (3088, 2503), (3347, 2377), (4088, 1339), (4047, 1128)]","[(1693, 3505), (2143, 2954), (2966, 2923), (910, 2766), (4121, 1641), (3958, 1135), (3679, 976), (3958, 967), (3970, 835)]","[(675, 3479), (1093, 3465)]",[],[],[]
5.jpg,"[(3952, 2911), (3053, 2483), (2996, 2154), (3095, 1728), (3905, 1689), (3363, 1155)]","[(3488, 3218), (3570, 1342), (3366, 770), (3404, 535)]","[(3301, 1796), (3170, 1790), (3246, 1711), (3058, 1679), (3083, 1647), (3196, 1643), (3244, 1597), (3197, 1550), (3246, 1536), (3211, 1504), (3273, 1447), (3252, 1416), (3355, 637), (3453, 567)]","[(3214, 1769), (3188, 1705), (3147, 1684), (3396, 679)]","[(3212, 1811), (3301, 1770), (3299, 1732), (3257, 1691), (3193, 1675), (3175, 1565), (3147, 1554), (3183, 1536), (3258, 1522), (3283, 1517), (3138, 1517), (3241, 1467), (3317, 1454), (3234, 1436), (3299, 612), (3406, 601), (3446, 529), (3370, 498), (3382, 477)]",[]
6.jpg,"[(1604, 698)]","[(912, 2199), (930, 2168), (1026, 2153), (864, 2136), (1059, 2113)]","[(880, 2263), (914, 2262), (991, 2229), (891, 2220), (860, 2178), (882, 2170), (955, 2117), (852, 2115), (821, 2113), (892, 2087), (1028, 2086), (837, 2051), (974, 2024), (1537, 1254), (1552, 1233), (1407, 1148), (1600, 1100), (1366, 1070), (1633, 1064), (1639, 1021)]","[(946, 2304), (919, 2221), (959, 2208), (1076, 2199), (1035, 2184), (980, 2178), (837, 2148), (1085, 2103), (1051, 2082), (847, 2071), (995, 2052), (826, 2039), (826, 2021), (1437, 1175), (1418, 1128), (1390, 1108), (1614, 1007), (1626, 781)]",[],"[(425, 3300), (178, 2839), (62, 2608), (2215, 2568), (120, 2450), (0, 2081), (870, 2020), (92, 1992), (39, 1949), (2079, 1863), (2400, 1666), (1228, 1656), (241, 1599), (653, 1071), (31, 971), (565, 831), (2777, 704), (547, 695), (349, 632), (2912, 545), (3331, 509), (3135, 504), (232, 471), (3303, 466), (2643, 179)]"
8.jpg,"[(2564, 1677), (2549, 1539), (2133, 1274), (2747, 1144), (2247, 980), (2674, 975), (2624, 706), (2107, 421), (2664, 325)]","[(2266, 1689), (2281, 1505), (2826, 1292), (2217, 778), (2830, 493)]","[(2453, 1732), (2594, 1706), (2363, 1689), (2417, 1666), (2482, 1637), (2612, 1627), (2559, 1624), (2413, 1596), (2466, 1570), (2413, 1570), (2202, 1568), (2481, 1567), (2456, 1520), (2491, 1471), (2524, 1454), (2442, 1453), (2235, 1438), (2571, 1430), (2609, 1425), (2662, 1411), (2515, 1362), (2600, 1357), (2546, 1315), (2551, 1293), (2582, 1292), (2520, 1279), (2585, 1124), (2511, 1059), (2629, 1046), (2567, 1046), (2603, 994), (2515, 990), (2481, 965), (2594, 956), (2384, 943), (2441, 933), (2526, 925), (2155, 899), (2693, 898), (2418, 883), (2601, 882), (2506, 871), (2673, 838), (2604, 820), (2562, 817), (2489, 816), (2458, 813), (2628, 811), (2376, 808), (2524, 792), (2564, 787), (2298, 769), (2493, 761), (2556, 757), (2456, 755), (2528, 701), (2583, 694), (2373, 680), (2249, 667), (2522, 663), (2446, 657), (2658, 617), (2527, 615), (2413, 575), (2367, 503), (2462, 393), (2540, 359), (2451, 312), (2550, 311), (2497, 292), (2622, 277), (2562, 261), (2644, 251), (2655, 208), (2578, 201), (2660, 149)]","[(2576, 1405), (2562, 989), (2447, 897), (2078, 813)]","[(2235, 1771), (2419, 1739), (2565, 1722), (2201, 1677), (2415, 1646), (2534, 1631), (2467, 1621), (2410, 1613), (2189, 1580), (2453, 1562), (2393, 1548), (2173, 1534), (2458, 1471), (2224, 1457), (2432, 1443), (2489, 1441), (2586, 1335), (2519, 1329), (2488, 1289), (2543, 1051), (2492, 1045), (2641, 1023), (2494, 1007), (2449, 958), (2439, 950), (2574, 949), (2482, 917), (2076, 889), (2482, 855), (2356, 816), (2432, 803), (2275, 792), (2516, 769), (2514, 743), (2541, 740), (2361, 729), (2230, 729), (2300, 722), (2269, 682), (2332, 636), (2628, 597), (2397, 584), (2347, 535), (2457, 416), (2453, 380), (2571, 337), (2484, 273), (2597, 261), (2631, 253), (2532, 253), (2599, 212)]","[(4991, 1554), (3815, 320), (3517, 310), (4732, 205), (4168, 148), (4443, 19)]"
10.jpg,"[(2476, 1557), (1989, 1423), (1587, 1116), (3580, 952), (3310, 933)]","[(2508, 1551), (3332, 1184), (3387, 925), (3592, 888)]","[(3495, 1274), (3303, 1119), (3377, 1050), (3484, 1004), (3833, 944), (3523, 941), (3544, 891)]","[(3476, 1283), (3406, 966), (3862, 946), (3413, 898), (3601, 876)]",[],"[(1916, 2142), (2704, 2020), (4636, 1246), (4287, 822), (4944, 423), (4855, 301), (4749, 195), (3421, 147), (4932, 42), (4612, 0)]"
11.jpg,"[(3492, 1388), (3169, 1284), (2833, 704)]","[(2830, 3327), (3332, 1572), (3150, 1444), (3359, 1390), (3108, 1266)]","[(2840, 3458), (3315, 1597), (3304, 1558), (3267, 1549), (3375, 1513), (3147, 1485), (3356, 1480), (3367, 1471), (3318, 1467), (3198, 1466), (3130, 1465), (3191, 1445), (3262, 1440), (3287, 1431), (3095, 1427), (3170, 1411), (3393, 1407), (3238, 1407), (3113, 1378), (3302, 1360), (3051, 1359), (3080, 1334), (3033, 1298), (2970, 1289), (3313, 1256), (3408, 1242), (3192, 1237), (3249, 1234), (3313, 1225), (3209, 1208), (3321, 1198), (3287, 1186), (3275, 1176), (3209, 1092), (2935, 1056), (2879, 1014)]","[(2992, 3341), (2962, 3313), (3365, 1549), (3335, 1542), (3306, 1528), (3331, 1508), (3398, 1478), (3227, 1473), (3262, 1389), (3137, 1366), (3290, 1214), (3204, 1170), (2897, 795)]",[],[]
12.jpg,"[(4080, 3311), (3264, 3114), (3613, 2910), (3309, 2440), (3369, 1293), (3045, 931), (2504, 762), (3301, 651)]","[(3311, 3246), (3470, 3203), (3750, 2993), (3917, 2869), (3553, 2791), (3631, 2738), (3855, 2706), (3729, 2706), (2974, 1731)]","[(3478, 2009), (2774, 1075), (3166, 1032), (2658, 1014), (2847, 892), (2796, 851), (2667, 843), (2685, 800), (2522, 790), (2723, 762), (2176, 725), (2657, 709), (2678, 632)]","[(2776, 753)]","[(3636, 2145), (3221, 963), (2727, 933), (2760, 895), (2646, 847), (2708, 774), (2670, 737)]",[]
